"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5429","@regression home page headers exist test @junesprint","chromium","2026-06-30","passed","2026-06-30","","homepage.spec.ts","",""
"","2553","@regression forgot pwd link exist test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","3706","@regression verify search results count - macbook - MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2825","@regression invalid login test with excel data - pwbatchtest@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2719","@regression invalid login test with JSON data - invalid@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","4367","@regression verify user is able to land on the product page - macbook - MacBook Pro","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2823","@regression invalid login test with -  - pw1234","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2713","@regression invalid login test with JSON data - wrong@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2775","@regression invalid login test with excel data - excel_wrong@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","2865","@regression invalid login test with - pwtestbatch@open.com -","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","4417","@regression verify user is able to land on the product page - imac - iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2762","@regression invalid login test with JSON data - pwbatchtest@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","3642","@regression verify search results count - macbook - MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","2853","@regression invalid login test with excel data - excel_invalid@open.com","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","3353","@regression verify user is able to land on the product page - airtel - null","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3652","@regression verify search results count - imac - iMac","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3473","@regression verify search results count - airtel - null","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","4895","@regression verify product Information/Data","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
"","4546","@regression login to app using wrong credentials with Data driven test","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","4349","@regression verify user is able to land on the product page - macbook - MacBook Air","chromium","2026-06-30","passed","2026-06-30","","search.spec.ts","",""
"","3158","@regression home page headers exist test","chromium","2026-06-30","passed","2026-06-30","","homepagefix.spec.ts","",""
"","2381","@regression forgot pwd link exist test","chromium","2026-06-30","passed","2026-06-30","","loginpage.spec.ts","",""
"","2779","@regression invalid login test with - invalid@open.com - wrong123","chromium","2026-06-30","passed","2026-06-30","","loginpagefix.spec.ts","",""
"","4922","@regression verify product images count","chromium","2026-06-30","passed","2026-06-30","","productpage.spec.ts","",""
